Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,4.1763,3.5750,11.06,22.88
2,0.9000,0.6215,78.26,83.38
3,0.4257,0.5185,86.88,85.00
4,0.3549,0.4945,88.95,85.94
5,0.3156,0.4575,90.07,86.48
6,0.2869,0.4459,90.94,86.62
7,0.2657,0.4349,91.50,86.92
8,0.2513,0.4311,92.11,87.28
9,0.2423,0.4245,92.34,87.62
10,0.2374,0.4257,92.48,87.46
