Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,4.0961,3.3885,13.25,27.62
2,0.8108,0.5729,79.89,83.96
3,0.4041,0.4910,87.58,85.66
4,0.3356,0.4466,89.46,86.76
5,0.2964,0.4285,90.65,87.06
6,0.2632,0.4076,91.48,87.82
7,0.2413,0.4053,92.31,87.82
8,0.2256,0.4060,92.70,87.86
9,0.2170,0.3919,93.08,88.16
10,0.2094,0.3936,93.42,88.10
