Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,4.1469,3.5002,11.98,24.66
2,0.8536,0.5885,79.03,83.56
3,0.4121,0.5115,87.29,84.92
4,0.3434,0.4600,89.28,86.40
5,0.3052,0.4418,90.37,87.10
6,0.2740,0.4219,91.16,87.38
7,0.2536,0.4183,91.97,87.52
8,0.2389,0.4181,92.38,87.62
9,0.2313,0.4076,92.60,87.88
10,0.2244,0.4086,92.94,87.78
