Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,4.2308,3.6974,9.84,19.30
2,1.6901,1.1608,61.53,70.92
3,1.0446,0.9771,71.71,73.56
4,0.9191,0.9219,74.39,74.56
5,0.8572,0.9010,75.56,74.82
6,0.8208,0.8799,76.75,75.14
7,0.7915,0.8668,77.30,75.50
8,0.7725,0.8596,78.10,76.04
9,0.7678,0.8566,77.92,75.96
10,0.7616,0.8559,78.43,75.98
