Epoch,Training Loss,Validation Loss,Training Accuracy,Validation Accuracy
1,4.0827,3.3432,13.26,28.72
2,0.8122,0.5929,79.92,84.02
3,0.4116,0.4918,87.48,86.10
4,0.3422,0.4568,89.27,86.38
5,0.3036,0.4286,90.36,87.14
6,0.2716,0.4250,91.35,86.96
7,0.2507,0.4094,92.15,87.84
8,0.2305,0.4083,92.77,87.82
9,0.2226,0.4117,92.97,87.76
10,0.2172,0.4073,93.18,87.84
